,text,emotion,X,y,NaiveBayes,SVM
  (0, 1396)	0.198725535511
  (0, 3559)	0.27520801156
  (0, 1712)	0.342300508285
  (0, 2198)	0.466915614088
  (0, 512)	0.381036351455
  (0, 1329)	0.388672181852
  (0, 2523)	0.451564960258",,positive,positive
8194,Blockchain Could Move SelfDriving Cars Into the Fast Lane  CoinDesk AutonomousVehicles selfdrivingcars ,,"  (0, 3078)	0.0748950483674
  (0, 509)	0.180226928586
  (0, 264)	0.266755905851
  (0, 3071)	0.185212166329
  (0, 1268)	0.424499734939
  (0, 1944)	0.422453339311
  (0, 378)	0.398935353488
  (0, 621)	0.581919634451",,positive,positive
8196,RT   What SelfDriving Cars See ,,"  (0, 2959)	0.620634790562
  (0, 509)	0.54682781201
  (0, 3071)	0.561953557473",,positive,positive
8198, F Facts Bay Area selfdrivingcars executive takes over as CEO at  ,,"  (0, 3078)	0.0679781430035
  (0, 3397)	0.389190809819
  (0, 535)	0.328496720022
  (0, 162)	0.413665002298
  (0, 1211)	0.439667397559
  (0, 1253)	0.431029718209
  (0, 316)	0.431029718209",,positive,neutral
8200,Judge orders  to give due diligence report it conducted on selfdrivingcars startup Otto to  ,,"  (0, 3078)	0.0586489284787
  (0, 3295)	0.295513485879
  (0, 2842)	0.320797259599
  (0, 2423)	0.375468810043
  (0, 2429)	0.392991263065
  (0, 1890)	0.398478118993
  (0, 929)	0.419593511395
  (0, 672)	0.419593511395",,positive,neutral
8202,Tesla Shot Down Uber Self Driving Partnership Idea    selfdrivingcars Tesla,,"  (0, 3078)	0.0726681880325
  (0, 1687)	0.430440818262
  (0, 2468)	0.445514882669
  (0, 3624)	0.248262647389
  (0, 3062)	0.320441465007
  (0, 1024)	0.273552885762
  (0, 3463)	0.609760830039",,positive,neutral
8204,Now  tells engineer at center of  selfdrivingcars lawsuit Dish or be ditched ,,"  (0, 3078)	0.0644076305592
  (0, 533)	0.372694516657
  (0, 3449)	0.416574123089
  (0, 1132)	0.381510451145
  (0, 1964)	0.412335860706
  (0, 946)	0.42612800808
  (0, 961)	0.431578832573",,positive,positive
8206,What SelfDrivingCars See ,,"  (0, 3078)	1.0",,positive,neutral
8208,Intel knows they missed the market on mobile and do not intend to make same mistake with SelfDrivingCars dbce ,,"  (0, 3078)	0.0599753052046
  (0, 2105)	0.272746794722
  (0, 2200)	0.438792324234
  (0, 1795)	0.33829697039
  (0, 2126)	0.325453954105
  (0, 1926)	0.413762415532
  (0, 1798)	0.42908284193
  (0, 2214)	0.392169487295",,neutral,neutral
8210,Cool look at What SelfDriving Cars selfdrivingcars See ,,"  (0, 3078)	0.116468346315
  (0, 509)	0.280268626449
  (0, 3071)	0.288021106867
  (0, 2062)	0.567992112568
  (0, 716)	0.70874073073",,positive,positive
8212,This technology could unleash the selfdriving revolution for older vehicles  technology selfdrivingcars ,,"  (0, 3078)	0.0698551023084
  (0, 3071)	0.172748601005
  (0, 3745)	0.293448387966
  (0, 3439)	0.52729733865
  (0, 3661)	0.468080928327
  (0, 2876)	0.395933684008
  (0, 2385)	0.47461616933",,positive,positive
8214,As Germany adopts selfdrivingcars law will the insurance industry see rising claims costs Autonomous Insurtech ,,"  (0, 3078)	0.0573359933485
  (0, 252)	0.195881937954
  (0, 1785)	0.257684163803
  (0, 589)	0.360265198739
  (0, 1749)	0.263048189082
  (0, 1791)	0.307619311472
  (0, 46)	0.430843042357
  (0, 1960)	0.370836358103
  (0, 1443)	0.357178729373
  (0, 730)	0.384193625179",,positive,positive
8216,Building blocks of the future AI  AR VR  robotics  drones  smarthomes  selfdrivingcars  wearables IoT  ,,"  (0, 3078)	0.0538390495953
  (0, 70)	0.162391984354
  (0, 1396)	0.178042042845
  (0, 1838)	0.195378051179
  (0, 2936)	0.257894234071
  (0, 449)	0.320943406454
  (0, 1036)	0.299525108705
  (0, 160)	0.338292489056
  (0, 3819)	0.338292489056
  (0, 3784)	0.308241184388
  (0, 3205)	0.377812736341
  (0, 379)	0.418318710551",,positive,neutral
8218,Toyota Wants to Store DrivingData in Blockchain  ,,"  (0, 3550)	0.448906234196
  (0, 3801)	0.452283825365
  (0, 378)	0.445675542155
  (0, 3323)	0.62872557236",,neutral,neutral
8220,RT evankirstel By  autonomous  selfdrivingcars will be smart enough for regular use ai machinelearning  ,,"  (0, 3078)	0.0717328731868
  (0, 2959)	0.195916189059
  (0, 70)	0.21636421348
  (0, 252)	0.24506724998
  (0, 2093)	0.337267857583
  (0, 3686)	0.368697018042
  (0, 3197)	0.382091736974
  (0, 2809)	0.4365135298
  (0, 1183)	0.513200307723",,positive,positive
8222,Selfdriving car technology  When will the robots hit the road selfdrivingcars robotics cars automobile drivingcartechnologywhenwilltherobotshittheroadcidsocapp ,,"  (0, 3078)	0.0771407241177
  (0, 509)	0.185630907245
  (0, 3071)	0.190765623863
  (0, 492)	0.235995997107
  (0, 3439)	0.291146224003
  (0, 2936)	0.369511499767
  (0, 2914)	0.308687372702
  (0, 1613)	0.37532682681
  (0, 2938)	0.40138732097
  (0, 237)	0.49892891921",,positive,positive
8224,Baidu Makes a Bold Move in the SelfDrivingCar Market selfdrivingcars MachineIntelligence AutonomousVehicles ,,"  (0, 3078)	0.0642765277371
  (0, 2092)	0.470260999977
  (0, 264)	0.228935607296
  (0, 2126)	0.348794391905
  (0, 3073)	0.333403624674
  (0, 2107)	0.356028613493
  (0, 300)	0.407558847799
  (0, 388)	0.443436032343",,positive,positive
8226,AI selfdrivingcars MUST be as obedient loyal capable and safe as Trigger to be SafetyFirst We have that choice pictwittercombEaiTW,,"  (0, 3078)	0.0707144571457
  (0, 70)	0.213292417023
  (0, 2975)	0.365665901652
  (0, 577)	0.517362286062
  (0, 3586)	0.549437271885
  (0, 2981)	0.496235033008",,positive,positive
8228,Who Do You Trust More With Your Safety Google or Ford   ,,"  (0, 2980)	0.497924478207
  (0, 3601)	0.608006163599
  (0, 1478)	0.340382628776
  (0, 1351)	0.516274524895",,positive,neutral
8230,What SelfDrivingCars See  interesting  piece on Lidar technology ,,"  (0, 3078)	0.0951024760637
  (0, 2525)	0.603017258895
  (0, 1801)	0.481830577445
  (0, 3439)	0.358937864739
  (0, 2014)	0.516070352197",,positive,positive
8232,selfdrivingcars IoT smartcities infosec l  ,,"  (0, 3078)	0.0968256407172
  (0, 1838)	0.351373308586
  (0, 3201)	0.548800751395
  (0, 1759)	0.752315976556",,positive,neutral
8234, Car  computer on wheel  Car  Tech Product  selfdrivingcars iot tech pictwittercomMbJyvYglij,,"  (0, 3078)	0.0692039177732
  (0, 492)	0.423429978532
  (0, 3427)	0.45663419841
  (0, 1838)	0.251136056265
  (0, 3841)	0.380086582344
  (0, 2638)	0.485634901357
  (0, 663)	0.405002090905",,positive,neutral
8236,What SelfDriving Cars See ,,"  (0, 509)	0.69739570094
  (0, 3071)	0.716686288631",,positive,neutral
8238,Such a task each one has a task to not be afraid to innovate via eary newtech selfdrivingcars smartcities iot ai  ,,"  (0, 3078)	0.0606853624561
  (0, 70)	0.183042169291
  (0, 57)	0.412314252095
  (0, 1838)	0.220222829728
  (0, 3201)	0.343960259574
  (0, 2313)	0.425856381524
  (0, 1050)	0.471513200229
  (0, 1767)	0.471513200229",,positive,positive
8240,Cloud Security Alliance Releases New Guidance for Connected Vehicle Security automotive tech selfdrivingcars ,,"  (0, 3078)	0.048906039442
  (0, 2309)	0.187064405057
  (0, 3427)	0.161350475786
  (0, 239)	0.21979756768
  (0, 94)	0.337396882677
  (0, 3744)	0.226855086324
  (0, 3045)	0.565989233673
  (0, 684)	0.266433415943
  (0, 605)	0.327706689795
  (0, 2822)	0.332282057144
  (0, 1528)	0.337396882677",,positive,positive
8242,How Blockchain Tech Could Move SelfDriving Cars Into the Fast Lane blockchain selfdrivingcars AIcars ,,"  (0, 3078)	0.0622948858482
  (0, 509)	0.149905984278
  (0, 3071)	0.154052517632
  (0, 3427)	0.205522867633
  (0, 1268)	0.35308292213
  (0, 1944)	0.351380807173
  (0, 378)	0.663638861262
  (0, 71)	0.468105923953",,positive,neutral
8244,Pretty interesting to know how selfdrivingcars work selfdrivencars Autonomousvehicles autonomouscars smartcars smartcities  ,,"  (0, 3078)	0.058637618446
  (0, 3884)	0.30138922513
  (0, 264)	0.208851337525
  (0, 254)	0.215825596257
  (0, 1801)	0.297083721952
  (0, 1923)	0.31696988181
  (0, 3201)	0.332353794148
  (0, 2616)	0.392915477469
  (0, 3199)	0.392915477469
  (0, 3070)	0.455602636423",,positive,positive
8246,Selfdriving cars The solution people don want   AutonomousCars Tech SelfDrivingCars DriverlessCars AutoTech,,"  (0, 3078)	0.0708139457905
  (0, 509)	0.170406191452
  (0, 3071)	0.175119778838
  (0, 254)	0.260642612688
  (0, 3427)	0.233628892791
  (0, 3800)	0.350378004821
  (0, 1018)	0.286769733405
  (0, 3229)	0.434146875055
  (0, 2493)	0.322037156294
  (0, 977)	0.409764636113
  (0, 273)	0.384269468653",,positive,positive
8248, TechTitans and Automakers Battle For SelfDriving Trust   AutonomousCars Tech SelfDrivingCars DriverlessCars,,"  (0, 3078)	0.0799757624256
  (0, 3071)	0.197776549125
  (0, 3601)	0.44109308179
  (0, 254)	0.294364216506
  (0, 3427)	0.263855496499
  (0, 1018)	0.323871630279
  (0, 225)	0.451111637379
  (0, 313)	0.543378919325",,positive,positive
8250, Roborace autonomous car takes a lap in Paris  ncidmobilenavtrend  AutonomousCars Tech SelfDrivingCars DriverlessCars AutoTech,,"  (0, 3078)	0.0525108255422
  (0, 252)	0.179397297754
  (0, 254)	0.193274906672
  (0, 492)	0.160645946411
  (0, 3427)	0.173243361798
  (0, 1018)	0.212649009648
  (0, 3397)	0.30063679021
  (0, 273)	0.284948209062
  (0, 2460)	0.39458501566
  (0, 2929)	0.407998673749
  (0, 1947)	0.407998673749
  (0, 2287)	0.407998673749",,positive,positive
8252,Fortune favours the brave  automotive selfdrivingcars autonomouscars AutonomousVehicles lt uk autosec  ,,"  (0, 3078)	0.0639935180317
  (0, 264)	0.227927603269
  (0, 254)	0.235538883601
  (0, 239)	0.287604961905
  (0, 2076)	0.480870050203
  (0, 3636)	0.309938687935
  (0, 415)	0.480870050203
  (0, 1361)	0.497216911292",,positive,positive
8254,uber & Waymo are fighting over the tech in court It is essential to make autonomous cars safe selfdrivingcars  selfdrivingcarshtmlrrefcollectionFsectioncollectionFtechnology&actionclick&contentCollectiontechnology&regionrank&modulepackage&versionhighlights&contentPlacement&pgtypesectionfront ,,"  (0, 3078)	0.0596265102867
  (0, 252)	0.203707230071
  (0, 509)	0.143484823704
  (0, 2105)	0.271160596943
  (0, 3427)	0.19671938096
  (0, 3624)	0.203707230071
  (0, 2975)	0.308329902065
  (0, 3815)	0.28262468915
  (0, 1303)	0.463286129404
  (0, 738)	0.436240465062
  (0, 1168)	0.448054801125",,positive,positive
8256,What SelfDrivingCars See via  selfdrivingcarshtmlsmprodnytcoreipad&smidnytcoreipadshare ,,"  (0, 3078)	0.138429859146
  (0, 3211)	0.990372240169",,positive,neutral
8258,Is Uber new recruit creating tension with Waymo  techcompetition legal selfdrivingcars  ,,"  (0, 3078)	0.0856954151208
  (0, 2309)	0.327782867486
  (0, 3624)	0.29276869567
  (0, 3815)	0.406189125334
  (0, 1990)	0.533845804325
  (0, 759)	0.591202359695",,positive,positive
8260,deeplearning selfdrivingcars raspberrypi udacity selfdrivingrccarserieshardwaresetupeeffdaa ,,"  (0, 3078)	0.0840224026113
  (0, 846)	0.507658473838
  (0, 3630)	0.555901509619
  (0, 2747)	0.652837362138",,positive,positive
8262,Explaining How EndtoEnd Deep Learning Steers a SelfDriving Car deeplearning selfdrivingcars MI AIcars ,,"  (0, 3078)	0.0523904221026
  (0, 3071)	0.129559213647
  (0, 492)	0.160277597136
  (0, 1984)	0.294124892653
  (0, 846)	0.316539885813
  (0, 1127)	0.407063162963
  (0, 844)	0.355955980683
  (0, 1229)	0.3936802614
  (0, 71)	0.3936802614
  (0, 2176)	0.407063162963",,positive,positive
8264,Volvo wants to automate your weekly garbage pickup  volvo selfdrivingcars trucks ,,"  (0, 3078)	0.0540155392187
  (0, 3779)	0.579608794156
  (0, 3801)	0.291984898701
  (0, 3597)	0.285719992269
  (0, 3828)	0.405891969292
  (0, 2522)	0.405891969292
  (0, 1424)	0.405891969292",,positive,positive
8266,Deepdive on Nvidia s SelfDrivingCars Technology  AutonomousVehicles futureofcars,,"  (0, 3078)	0.0943192758969
  (0, 2349)	0.524730499113
  (0, 264)	0.335939750752
  (0, 3439)	0.355981893379
  (0, 1400)	0.690060253127",,positive,positive
8268,Tesla is using its fleet to make HD maps  sourceansh  Tesla selfdrivingcars electricvehicles ElonMusk ElonMust  TSLA,,"  (0, 3078)	0.05233530737
  (0, 2105)	0.238002746084
  (0, 1326)	0.311979352373
  (0, 3463)	0.439147050811
  (0, 3694)	0.287439624147
  (0, 1098)	0.342212692185
  (0, 2122)	0.314045062376
  (0, 1109)	0.311979352373
  (0, 3606)	0.328843869436
  (0, 1573)	0.382896445162",,positive,positive
8270,SelfDrivingCars Are Tripping Balls On Lidar  Basically  fdrivingcarsaretrippingballsonlidarbasically  AutonomousVehicles AutonomousCar SelfDriving CatTech,,"  (0, 3078)	0.086853869765
  (0, 264)	0.309349993235
  (0, 3071)	0.21478580659
  (0, 2014)	0.471309570629
  (0, 253)	0.41603840312
  (0, 311)	0.674837298942",,positive,positive
8272,Zuckerberg tells Harvard we need a new social   selfdrivingcars autonomouscars flyingcar cars via ,,"  (0, 3078)	0.0660003433311
  (0, 2309)	0.252449699458
  (0, 509)	0.158822771645
  (0, 2296)	0.298107942428
  (0, 254)	0.242925340935
  (0, 1332)	0.314800710851
  (0, 3449)	0.42687543243
  (0, 1568)	0.512809544851
  (0, 3219)	0.463153983972",,positive,positive
8274,What SelfDriving Cars See  via  autonomousdriving AutonomousVehicles selfdrivingcars Technology,,"  (0, 3078)	0.123141371215
  (0, 509)	0.296326547612
  (0, 256)	0.629222681678
  (0, 264)	0.438596258929
  (0, 3071)	0.304523204466
  (0, 3439)	0.464762881836",,positive,positive
8276,Waymo hunt for smoking gun turns to Uber   selfdrivingcars autonomouscars flyingcar cars via News,,"  (0, 3078)	0.0555517021149
  (0, 509)	0.133679233382
  (0, 254)	0.204467363269
  (0, 3624)	0.189786108714
  (0, 1332)	0.264964005218
  (0, 3815)	0.263310438033
  (0, 2312)	0.260672012274
  (0, 1531)	0.431625680102
  (0, 3616)	0.383244509979
  (0, 1666)	0.417435243545
  (0, 3213)	0.431625680102",,positive,positive
8278,Apple may be working on an artificial intel  selfdrivingcars autonomouscars flyingcar cars via nds,,"  (0, 3078)	0.066597786679
  (0, 509)	0.160260455203
  (0, 254)	0.24512433145
  (0, 148)	0.283416481356
  (0, 3886)	0.362815635893
  (0, 1332)	0.317650326188
  (0, 2290)	0.467346511659
  (0, 1795)	0.375651768529
  (0, 178)	0.487243833208",,positive,neutral
8280,Ford lures engineer back from Uber to oversee SelfDrivingCars  announcesmoremanagementchanges  via ,,"  (0, 3078)	0.0631445981983
  (0, 3624)	0.215726379609
  (0, 1351)	0.295720052851
  (0, 1132)	0.374029038747
  (0, 2081)	0.490620972977
  (0, 2437)	0.490620972977
  (0, 131)	0.490620972977",,positive,neutral
8282,In the Future InternetConnected Car Security Is Only Getting Tougher ,,"  (0, 1396)	0.278440956105
  (0, 492)	0.257589916229
  (0, 3045)	0.487218323536
  (0, 1445)	0.436742888098
  (0, 1805)	0.654210993432",,positive,positive
8284,LA be warned  oil is coming & along with it a lot of unused City required parking  ortersnotebookbewarnedusoiliscomingandalongwithitanewworldorderhtml  selfdrivingcars disruption,,"  (0, 3078)	0.0535340128409
  (0, 586)	0.246493856816
  (0, 2071)	0.325768645132
  (0, 635)	0.256989052299
  (0, 954)	0.317101952257
  (0, 2462)	0.311503111319
  (0, 1933)	0.319125032322
  (0, 2847)	0.375672156747
  (0, 2380)	0.402273608861
  (0, 3804)	0.402273608861",,positive,positive
8286,l  By  autonomous  selfdrivingcars will be smart enough for regular use ai MachineLearning ,,"  (0, 3078)	0.085845028991
  (0, 70)	0.258929990584
  (0, 252)	0.29327983454
  (0, 2093)	0.403619257471
  (0, 3686)	0.441231541365
  (0, 3197)	0.457261430925
  (0, 2809)	0.522389735081",,positive,positive
8288,best present on any religious holiday is science article  ramadan selfdrivingcars intel fb ,,"  (0, 3078)	0.0640144997159
  (0, 1795)	0.36108046872
  (0, 3015)	0.374632059389
  (0, 176)	0.356134629608
  (0, 346)	0.402228951056
  (0, 1619)	0.497379934806
  (0, 2611)	0.434933392591",,positive,positive
8290,  testing safety whitepaper autonomousdriving selfdriving selfdrivingcars ,,"  (0, 3078)	0.120145131926
  (0, 256)	0.613912622174
  (0, 2980)	0.542667147827
  (0, 3071)	0.297113636254
  (0, 3475)	0.475302317932",,positive,positive
8292,Cant wait for SelfDrivingCars   ,,"  (0, 3078)	0.184513840185
  (0, 3792)	0.982829915489",,positive,positive
8294,WZ Autonomes Fahren aber wer haftet bei einem Unfall autonomouscar selfdriving selfdrivingcars SelfDrivingCar  nomesfahrenvielvertrauenaberwerhaftetbeieinemunfall ,,"  (0, 3078)	0.0572859776262
  (0, 3071)	0.141665707516
  (0, 253)	0.274405351394
  (0, 334)	0.366743236567
  (0, 248)	0.389217828889
  (0, 1254)	0.37901036453
  (0, 3073)	0.29714350255
  (0, 3836)	0.430467206434
  (0, 3652)	0.445100655999",,neutral,neutral
8296,FT Rush for selfdriving tech risks dotcom detour autonomouscar selfdriving selfdrivingcars SelfDrivingCar  bafaebbff ,,"  (0, 3078)	0.05029552682
  (0, 3071)	0.248757259179
  (0, 3427)	0.165934663181
  (0, 253)	0.240920418617
  (0, 3073)	0.260883895522
  (0, 2968)	0.316027104568
  (0, 1382)	0.377938473314
  (0, 2906)	0.332760768764
  (0, 983)	0.377938473314
  (0, 899)	0.377938473314
  (0, 298)	0.377938473314",,positive,positive
8298,Another Setback For Uber In SelfDriving Car Lawsuit autonomouscar selfdriving selfdrivingcars SelfDrivingCar  setbackforuberinselfdrivingcarlawsuitutmtermmeePqVRMiebbqMYmn ,,"  (0, 3078)	0.085333532616
  (0, 3071)	0.422052159143
  (0, 492)	0.261060190278
  (0, 3624)	0.291532365012
  (0, 253)	0.408755841717
  (0, 3073)	0.44262672677
  (0, 1964)	0.546302904063",,positive,positive
8300,Building Blocks of the Future AI VR Robotics Drones SmartHomes SelfDrivingCars & Wearables AmbientComputing finalcolumn ,,"  (0, 3078)	0.0584866629536
  (0, 70)	0.176410343917
  (0, 1396)	0.193411381325
  (0, 2936)	0.280156749778
  (0, 449)	0.348648592082
  (0, 1036)	0.325381376726
  (0, 3819)	0.367495320513
  (0, 3784)	0.334849860746
  (0, 3205)	0.410427121875
  (0, 379)	0.454429742261",,neutral,neutral
8302,Are American cities ready for selfdrivingcars  How will we prepare for the future ,,"  (0, 3078)	0.0855465713373
  (0, 1396)	0.282896641634
  (0, 2762)	0.34798157168
  (0, 110)	0.528576785681
  (0, 2607)	0.547666772036
  (0, 585)	0.460681873425",,positive,positive
8304,As the tech wars heat up   teams up with  on selfdrivingcars ,,"  (0, 3078)	0.0815907332162
